证券代码	证券名称	行业代码	行业名称	更新时间
000001	平安银行	801783.SI	股份制银行Ⅱ	2026-05-31 22:28:48
000002	万科A	801181.SI	房地产开发	2026-05-31 22:28:04
000004	*ST国华	801104.SI	软件开发	2026-05-31 22:30:47
000006	深振业A	801181.SI	房地产开发	2026-05-31 22:28:04
000007	全新好	801203.SI	一般零售	2026-05-31 22:28:12
000008	神州高铁	801076.SI	轨交设备Ⅱ	2026-05-31 22:30:09
000009	中国宝安	801737.SI	电池	2026-05-31 22:29:54
000010	*ST美丽	801723.SI	基础建设	2026-05-31 22:29:31
000011	深物业A	801181.SI	房地产开发	2026-05-31 22:28:04
000012	南玻A	801712.SI	玻璃玻纤	2026-05-31 22:29:16
000014	沙河股份	801181.SI	房地产开发	2026-05-31 22:28:04
000016	*ST康佳A	801111.SI	白色家电	2026-05-31 22:26:37
000017	深中华A	801133.SI	饰品	2026-05-31 22:27:18
000019	深粮控股	801012.SI	农产品加工	2026-05-31 22:25:18
000020	深华发A	801084.SI	光学光电子	2026-05-31 22:26:13
000021	深科技	801085.SI	消费电子	2026-05-31 22:26:18
000025	特力A	801231.SI	综合Ⅱ	2026-05-31 22:29:10
000026	飞亚达	801133.SI	饰品	2026-05-31 22:27:18
000027	深圳能源	801161.SI	电力	2026-05-31 22:27:48
000028	国药一致	801154.SI	医药商业	2026-05-31 22:27:40
000029	深深房A	801181.SI	房地产开发	2026-05-31 22:28:04
000030	富奥股份	801093.SI	汽车零部件	2026-05-31 22:26:23
000031	大悦城	801181.SI	房地产开发	2026-05-31 22:28:04
000032	深桑达A	801724.SI	专业工程	2026-05-31 22:29:35
000034	神州数码	801103.SI	IT服务Ⅱ	2026-05-31 22:30:44
000035	中国天楹	801971.SI	环境治理	2026-05-31 22:31:39
000036	华联控股	801181.SI	房地产开发	2026-05-31 22:28:04
000037	深南电A	801161.SI	电力	2026-05-31 22:27:48
000039	中集集团	801072.SI	通用设备	2026-05-31 22:30:03
000042	中洲控股	801181.SI	房地产开发	2026-05-31 22:28:04
000045	深纺织A	801084.SI	光学光电子	2026-05-31 22:26:12
000048	京基智农	801017.SI	养殖业	2026-05-31 22:25:20
000049	德赛电池	801737.SI	电池	2026-05-31 22:29:54
000050	深天马A	801084.SI	光学光电子	2026-05-31 22:26:12
000055	方大集团	801713.SI	装修建材	2026-05-31 22:29:19
000056	*ST皇庭	801183.SI	房地产服务	2026-05-31 22:28:07
000058	深赛格	801203.SI	一般零售	2026-05-31 22:28:12
000059	华锦股份	801963.SI	炼化及贸易	2026-05-31 22:31:36
000060	中金岭南	801055.SI	工业金属	2026-05-31 22:25:57
000061	农产品	801203.SI	一般零售	2026-05-31 22:28:12
000062	深圳华强	801082.SI	其他电子Ⅱ	2026-05-31 22:26:15
000063	中兴通讯	801102.SI	通信设备	2026-05-31 22:31:16
000065	北方国际	801724.SI	专业工程	2026-05-31 22:29:35
000066	中国长城	801101.SI	计算机设备	2026-05-31 22:30:41
000068	华控赛格	801971.SI	环境治理	2026-05-31 22:31:39
000069	华侨城A	801181.SI	房地产开发	2026-05-31 22:28:04
000070	特发信息	801102.SI	通信设备	2026-05-31 22:31:16
000078	ST海王	801154.SI	医药商业	2026-05-31 22:27:40
000088	盐田港	801992.SI	航运港口	2026-05-31 22:28:02
000089	深圳机场	801991.SI	航空机场	2026-05-31 22:27:59
000090	天健集团	801181.SI	房地产开发	2026-05-31 22:28:04
000096	广聚能源	801963.SI	炼化及贸易	2026-05-31 22:31:36
000099	中信海直	801991.SI	航空机场	2026-05-31 22:27:59
000100	TCL科技	801084.SI	光学光电子	2026-05-31 22:26:12
000151	中成股份	801202.SI	贸易Ⅱ	2026-05-31 22:28:10
000153	丰原药业	801151.SI	化学制药	2026-05-31 22:27:31
000155	川能动力	801161.SI	电力	2026-05-31 22:27:48
000156	华数传媒	801995.SI	电视广播Ⅱ	2026-05-31 22:31:10
000157	中联重科	801077.SI	工程机械	2026-05-31 22:30:13
000158	常山北明	801103.SI	IT服务Ⅱ	2026-05-31 22:30:44
000159	国际实业	801735.SI	光伏设备	2026-05-31 22:29:48
000166	申万宏源	801193.SI	证券Ⅱ	2026-05-31 22:28:58
000301	东方盛虹	801963.SI	炼化及贸易	2026-05-31 22:31:36
000333	美的集团	801111.SI	白色家电	2026-05-31 22:26:37
000338	潍柴动力	801093.SI	汽车零部件	2026-05-31 22:26:23
000400	许继电气	801738.SI	电网设备	2026-05-31 22:30:00
000401	金隅冀东	801711.SI	水泥	2026-05-31 22:29:13
000402	金融街	801181.SI	房地产开发	2026-05-31 22:28:04
000403	派林生物	801152.SI	生物制品	2026-05-31 22:27:37
000404	长虹华意	801116.SI	家电零部件Ⅱ	2026-05-31 22:26:51
000407	胜利股份	801163.SI	燃气Ⅱ	2026-05-31 22:27:51
000408	藏格矿业	801056.SI	能源金属	2026-05-31 22:26:05
000409	云鼎科技	801103.SI	IT服务Ⅱ	2026-05-31 22:30:44
000410	沈阳机床	801072.SI	通用设备	2026-05-31 22:30:03
000411	英特集团	801154.SI	医药商业	2026-05-31 22:27:40
000415	渤海租赁	801191.SI	多元金融	2026-05-31 22:29:06
000417	合百集团	801203.SI	一般零售	2026-05-31 22:28:12
000419	通程控股	801203.SI	一般零售	2026-05-31 22:28:12
000420	吉林化纤	801032.SI	化学纤维	2026-05-31 22:25:33
000421	南京公用	801231.SI	综合Ⅱ	2026-05-31 22:29:10
000422	湖北宜化	801038.SI	农化制品	2026-05-31 22:25:41
000423	东阿阿胶	801155.SI	中药Ⅱ	2026-05-31 22:27:34
000425	徐工机械	801077.SI	工程机械	2026-05-31 22:30:13
000426	兴业银锡	801055.SI	工业金属	2026-05-31 22:25:57
000428	华天酒店	801219.SI	酒店餐饮	2026-05-31 22:28:31
000429	粤高速A	801179.SI	铁路公路	2026-05-31 22:27:56
000430	张家界	801993.SI	旅游及景区	2026-05-31 22:28:38
000488	ST晨鸣	801143.SI	造纸	2026-05-31 22:27:20
