label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
BASELINE,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
FULL_BULL_WEIGHTS.MACD趋势=25_FULL_BULL_WEIGHTS.金叉信号=10_FULL_BULL_WEIGHTS.柱状动能=15_FULL_BULL_WEIGHTS.DIF斜率=10_FULL_BULL_WEIGHTS.背离信号=10_FULL_BULL_WEIGHTS.量价配合=10_FULL_BULL_WEIGHTS.K线形态=10,0.5,5.5,41.5,52.4,8.93,0.0,20.62,0,0.0,0.0,0.0,0.0,0.0,0.0,,161.0
FULL_BULL_WEIGHTS.MACD趋势=20_FULL_BULL_WEIGHTS.金叉信号=20_FULL_BULL_WEIGHTS.柱状动能=15_FULL_BULL_WEIGHTS.DIF斜率=10_FULL_BULL_WEIGHTS.背离信号=10_FULL_BULL_WEIGHTS.量价配合=10_FULL_BULL_WEIGHTS.K线形态=5,1.9,4.3,41.3,52.4,8.87,0.0,20.78,0,0.0,0.0,0.0,0.0,0.0,0.0,,156.0
FULL_BULL_WEIGHTS.MACD趋势=15_FULL_BULL_WEIGHTS.金叉信号=15_FULL_BULL_WEIGHTS.柱状动能=20_FULL_BULL_WEIGHTS.DIF斜率=15_FULL_BULL_WEIGHTS.背离信号=10_FULL_BULL_WEIGHTS.量价配合=10_FULL_BULL_WEIGHTS.K线形态=5,2.4,3.6,41.5,52.4,8.56,0.0,20.61,0,0.0,0.0,0.0,0.0,0.0,0.0,,177.4
FULL_BULL_WEIGHTS.MACD趋势=20_FULL_BULL_WEIGHTS.金叉信号=15_FULL_BULL_WEIGHTS.柱状动能=15_FULL_BULL_WEIGHTS.DIF斜率=10_FULL_BULL_WEIGHTS.背离信号=15_FULL_BULL_WEIGHTS.量价配合=10_FULL_BULL_WEIGHTS.K线形态=5,0.3,6.1,41.1,52.4,8.67,0.0,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,,289.4
FULL_BULL_WEIGHTS.MACD趋势=20_FULL_BULL_WEIGHTS.金叉信号=15_FULL_BULL_WEIGHTS.柱状动能=15_FULL_BULL_WEIGHTS.DIF斜率=10_FULL_BULL_WEIGHTS.背离信号=10_FULL_BULL_WEIGHTS.量价配合=15_FULL_BULL_WEIGHTS.K线形态=5,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,434.9
FULL_BULL_WEIGHTS.MACD趋势=30_FULL_BULL_WEIGHTS.金叉信号=15_FULL_BULL_WEIGHTS.柱状动能=15_FULL_BULL_WEIGHTS.DIF斜率=5_FULL_BULL_WEIGHTS.背离信号=5_FULL_BULL_WEIGHTS.量价配合=5_FULL_BULL_WEIGHTS.K线形态=5,0.0,6.7,40.8,52.4,8.93,0.0,20.39,0,0.0,0.0,0.0,0.0,0.0,0.0,,446.4
BASELINE,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
BASELINE,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.2,5.4,42.0,52.4,8.15,0.0,19.06,0,0.0,0.0,0.0,0.0,0.0,0.0,,223.0
