code,name,pe_static,pe_ttm,pb,div_yield
801016,种植业,33.14,30.1,2.3,1.58
801015,渔业,59.99,84.86,1.68,0.57
801011,林业Ⅱ,247.49,263.84,3.07,0.38
801014,饲料,21.78,24.01,3.08,2.1
801012,农产品加工,39.85,37.28,1.82,0.96
801017,养殖业,15.98,25.41,2.36,3.29
801018,动物保健Ⅱ,31.63,32.57,1.8,1.55
801019,农业综合Ⅱ,38.04,42.75,1.47,3.07
801033,化学原料,23.99,23.18,2.12,2.1
801034,化学制品,26.85,26.91,2.48,1.35
801032,化学纤维,40.85,39.57,2.16,1.55
801036,塑料,57.38,52.47,3.57,0.56
801037,橡胶,35.89,38.0,3.01,1.17
801038,农化制品,19.52,18.04,2.2,2.5
801039,非金属材料Ⅱ,73.44,75.47,5.1,0.4
801043,冶钢原料,34.04,33.51,2.2,1.73
801044,普钢,15.26,15.89,0.67,2.01
801045,特钢Ⅱ,14.21,14.27,1.71,3.53
801051,金属新材料,76.74,70.29,5.28,0.7
801055,工业金属,19.06,15.78,3.16,1.73
801053,贵金属,27.07,22.2,4.09,1.11
801054,小金属,62.18,51.7,5.77,0.58
801056,能源金属,39.16,26.63,3.1,0.75
801081,半导体,130.74,105.04,9.36,0.2
801083,元件,87.16,80.19,9.78,0.43
801084,光学光电子,52.83,52.64,2.73,0.72
801082,其他电子Ⅱ,76.33,59.06,6.28,0.46
801085,消费电子,42.79,39.98,5.92,0.75
801086,电子化学品Ⅱ,92.96,90.04,6.74,0.33
801093,汽车零部件,26.7,27.08,2.74,1.63
801092,汽车服务,21.95,22.01,1.53,2.08
801881,摩托车及其他,22.4,24.44,3.48,2.84
801095,乘用车,21.71,24.37,1.84,1.6
801096,商用车,16.61,16.16,1.89,3.08
801111,白色家电,11.23,11.3,2.02,5.57
801112,黑色家电,29.45,31.83,2.36,1.45
801113,小家电,22.9,24.77,3.02,2.35
801114,厨卫电器,18.57,19.85,1.51,4.32
801115,照明设备Ⅱ,37.11,41.81,2.54,2.73
801116,家电零部件Ⅱ,41.97,42.68,4.11,0.84
801117,其他家电Ⅱ,32.62,30.14,1.83,1.71
801124,食品加工,23.19,22.82,2.68,3.87
801125,白酒Ⅱ,19.78,19.9,3.96,5.07
801126,非白酒,23.12,22.59,2.51,2.7
801127,饮料乳品,21.46,20.17,3.47,4.1
801128,休闲食品,24.22,18.94,2.49,3.02
801129,调味发酵品Ⅱ,28.63,27.22,3.86,2.95
801131,纺织制造,18.81,19.8,1.75,4.01
